DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1995-Q1,54223.6,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1995-Q2,54574.4,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1995-Q3,54793.9,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1995-Q4,55251.4,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1996-Q1,55489.0,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1996-Q2,55954.0,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1996-Q3,56130.3,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1996-Q4,56226.6,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1997-Q1,56523.7,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1997-Q2,56701.5,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1997-Q3,57456.2,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1997-Q4,58019.3,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1998-Q1,58438.8,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1998-Q2,59068.8,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1998-Q3,59520.0,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1998-Q4,59713.7,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1999-Q1,60083.4,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1999-Q2,60876.9,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1999-Q3,61893.0,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,1999-Q4,62092.8,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,2000-Q1,62706.5,
ESTAT:NAMQ_10_GDP(1.0),19/07/24 11:00:00,Q,CLV10_MEUR,SCA,B1GQ,AT,2000-Q2,63145.0,
